Model,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1
Majority Class,0.7453703703703703,0.1863425925925926,0.25,0.21352785145888595,0.5555769890260631,0.7453703703703703,0.636629334905197
Keyword Rules,0.48148148148148145,0.2376370945603967,0.33407082639819213,0.22821133041846112,0.7080964203146579,0.48148148148148145,0.5556554857064195
Naive Bayes,0.75,0.4380841121495327,0.25735294117647056,0.22895238095238096,0.7181767047421254,0.75,0.6490194003527338
Logistic Regression,0.8425925925925926,0.780530433240574,0.7573427921893394,0.7555145929339477,0.8641975940173272,0.8425925925925926,0.8498808101496274
Logistic Regression (Tuned),0.8425925925925926,0.7836805555555555,0.7087342183250112,0.737731790535529,0.8452739197530863,0.8425925925925926,0.8433755295126012
Random Forest,0.8564814814814815,0.8060394889663182,0.7010565095603459,0.7428228021978023,0.8541397814771798,0.8564814814814815,0.8539568070818071
