Model,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1
Majority Class,0.8055555555555556,0.26851851851851855,0.3333333333333333,0.29743589743589743,0.6489197530864197,0.8055555555555556,0.7188034188034188
Naive Bayes,0.8472222222222222,0.6135265700483091,0.4583333333333333,0.4862801240753997,0.788244766505636,0.8472222222222222,0.7963890877276705
Logistic Regression,0.9814814814814815,0.9625420875420875,0.9398148148148149,0.9505912123303427,0.9811658249158249,0.9814814814814815,0.9811053600184036
Logistic Regression (Tuned),0.9814814814814815,0.9478560036454774,0.9398148148148149,0.9430323558889647,0.981574390521759,0.9814814814814815,0.9812732253868419
Random Forest,0.8842592592592593,0.9581239530988275,0.5925925925925926,0.678141715558664,0.8987995533221664,0.8842592592592593,0.8618698544680593
LLM (Zero-Shot),0.8657407407407407,0.6730032419687593,0.7289272030651341,0.6756877934427458,0.8576358188427154,0.8657407407407407,0.8544954528997082
