Model,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1
Majority Class,0.8055555555555556,0.26851851851851855,0.3333333333333333,0.29743589743589743,0.6489197530864197,0.8055555555555556,0.7188034188034188
Naive Bayes,0.7731481481481481,0.30434782608695654,0.34364868847627467,0.32076672234152553,0.6526883163356594,0.7731481481481481,0.7074253028977439
Logistic Regression,0.8657407407407407,0.7163299663299663,0.6634246979074565,0.6678014184397164,0.8938458660680881,0.8657407407407407,0.8726792750197006
Logistic Regression (Tuned),0.8703703703703703,0.7190795169742539,0.6749189507810197,0.6775617410287897,0.8985277587909167,0.8703703703703703,0.8784130963751308
Random Forest,0.7962962962962963,0.6652707984366276,0.4248452696728559,0.446278715239447,0.8122130715304919,0.7962962962962963,0.7618075487567681
