Task,Model,Accuracy_mean,Accuracy_std,Macro_F1_mean,Macro_F1_std,Folds
Sentiment (human labels),Logistic Regression,0.8099999999999999,0.06633249580710802,0.6450868486352357,0.09271373315755485,5
Sentiment (human labels),Random Forest,0.69,0.08000000000000002,0.4048989898989899,0.1373634874369783,5
Theme (human labels),Logistic Regression,0.62,0.0748331477354788,0.21005865102639296,0.08085484285926044,5
Theme (human labels),Random Forest,0.55,0.08366600265340757,0.26304190202744154,0.0999847191143392,5
