Model,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1
Majority Class,0.7,0.2333333333333333,0.3333333333333333,0.2745098039215686,0.49,0.7,0.5764705882352941
Naive Bayes,0.7,0.4057971014492754,0.3976190476190476,0.38271604938271603,0.5821739130434782,0.7,0.6237037037037036
Logistic Regression,0.85,0.7925431376135602,0.7279761904761904,0.7306031035034395,0.8652496798975672,0.85,0.8447928331466966
Logistic Regression (Tuned),0.85,0.7691184141888368,0.730952380952381,0.7371775105355124,0.8555931142410015,0.85,0.8472032069071848
Random Forest,0.74,0.6724806201550387,0.48988095238095236,0.5213675213675214,0.7222093023255814,0.74,0.7005128205128206
LLM (Zero-Shot),0.62,0.4762345679012346,0.5750000000000001,0.49132453567937445,0.6899259259259258,0.6199999999999999,0.6333724340175952
