Model,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1
Majority Class,0.69,0.11499999999999999,0.16666666666666666,0.13609467455621302,0.47609999999999997,0.69,0.5634319526627218
Keyword Rules,0.36,0.26683569979716026,0.2968253968253968,0.24789562289562292,0.6006227180527385,0.36,0.4106818181818182
Naive Bayes,0.69,0.11499999999999999,0.16666666666666666,0.13609467455621302,0.47609999999999997,0.69,0.5634319526627218
Logistic Regression,0.61,0.2694480660582355,0.30569358178053835,0.2773966802168022,0.6571303780964797,0.61,0.6244486788617887
Logistic Regression (Tuned),0.64,0.28895161290322585,0.3216356107660456,0.2981885375015146,0.6632096774193549,0.64,0.6451672119229371
Random Forest,0.58,0.2350877192982456,0.24699792960662523,0.23870010291221114,0.578078947368421,0.58,0.5778262691938089
LLM (Zero-Shot),0.56,0.4045815941164778,0.5410282953761215,0.4372677119628339,0.7184549791293976,0.56,0.5998980836236933
